Date,Passengers,tourists,cpi,covid_flag,gdp_per_capta,month,month_name
2012-04-01,819885.0,802834.0,6.1,0,8076.985243192278,4,Apr
2012-05-01,765773.0,692046.0,5.7,0,7992.946301094693,5,May
2012-06-01,745731.0,653686.0,5.5,0,7909.217413362984,6,Jun
2012-07-01,794131.0,793245.0,4.9,0,7825.796867278697,7,Jul
2012-08-01,791901.0,77562.0,5.0,0,7742.682962714781,8,Aug
2012-09-01,810003.0,765398.0,5.5,0,7659.874012020075,9,Sep
2012-10-01,858436.0,784862.0,5.6,0,7577.368339905097,10,Oct
2012-11-01,798302.0,781096.0,5.6,0,7495.164283329049,11,Nov
2012-12-01,771312.0,871774.0,5.7,0,7413.260191388095,12,Dec
2013-01-01,698815.0,850759.0,5.4,0,7331.65442520483,1,Jan
2013-02-01,738447.0,715769.0,5.9,0,7291.470761310228,2,Feb
2013-03-01,844333.0,815075.0,5.9,0,7251.398986104672,3,Mar
2013-04-01,800273.0,803475.0,5.9,0,7211.438632918161,4,Apr
2013-05-01,755959.0,699658.0,5.6,0,7171.589237672294,5,May
2013-06-01,713314.0,677085.0,5.5,0,7131.850338862316,6,Jun
2013-07-01,756422.0,789168.0,6.3,0,7092.221477539295,7,Jul
2013-08-01,776319.0,829021.0,6.4,0,7052.702197292454,8,Aug
2013-09-01,782884.0,783933.0,6.0,0,7013.29204423165,9,Sep
2013-10-01,824323.0,794494.0,5.5,0,6973.99056697,10,Oct
2013-11-01,785742.0,835196.0,5.3,0,6934.797316606641,11,Nov
2013-12-01,788959.0,942935.0,5.4,0,6895.711846709645,12,Dec
2014-01-01,715023.0,949403.0,5.8,0,6856.733713299066,1,Jan
2014-02-01,741856.0,734122.0,5.9,0,6793.543096424122,2,Feb
2014-03-01,816151.0,751816.0,6.0,0,6730.565576861536,3,Mar
2014-04-01,789758.0,8401.0,6.1,0,6667.800078485763,4,Apr
2014-05-01,716793.0,714121.0,6.6,0,6605.245532404886,5,May
2014-06-01,727666.0,672726.0,6.6,0,6542.900876899937,6,Jun
